trial_id,strategy,window_index,target_multiplier,multiplier_clamped,mlp_output,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore
56,pure_archetype_corner,0,0.9316351911380132,false,0.8974185955690066,0.1768634159919779,0.610950179835868,0.21218640417215406,-0.04694097520240664,0.08328505395076041,-0.03634407874835377
57,pure_archetype_corner,0,0.9273361825808792,false,0.8952690912904396,0.1713072131431653,0.6272934032307953,0.20139938362603935,-0.048607836057050435,0.08818802096923856,-0.03958018491218823
58,pure_archetype_corner,0,0.9319175838285108,false,0.8975597919142554,0.17719490516981853,0.609614431856608,0.21319066297357347,-0.046841528449054426,0.08288432955698238,-0.03604280110792796
59,pure_archetype_corner,0,0.9320904569077564,false,0.8976462284538782,0.17745508753117245,0.6092450234408753,0.21329988902795213,-0.046763473740648265,0.08277350703226255,-0.036010033291614396
60,pure_archetype_corner,0,0.9269110369680034,false,0.8950565184840017,0.17070993932795386,0.628535376165949,0.20075468450609718,-0.04878701820161385,0.08856061284978473,-0.039773594648170874
61,pure_archetype_corner,0,0.9320488892205505,false,0.8976254446102753,0.17736788044133478,0.6091408712624305,0.21349124829623475,-0.0467896358675996,0.08274226137872914,-0.0359526255111296
62,pure_archetype_corner,0,0.9251314977099812,false,0.8941667488549906,0.16950294288757622,0.6323912256379136,0.1981058314745102,-0.04914911713372716,0.08971736769137406,-0.04056825055764696
63,pure_archetype_corner,0,0.9237450817546022,false,0.8934735408773011,0.16864314974264985,0.6349018133949862,0.19645503686236396,-0.04940705507720505,0.09047054401849586,-0.041063488941290804
64,pure_archetype_corner,0,0.9321287669396388,false,0.8976653834698194,0.17748885665631797,0.6089761049162822,0.21353503842739988,-0.04675334300310463,0.08269283147488465,-0.03593948847178002
65,pure_archetype_corner,0,0.9320548537986548,false,0.8976284268993274,0.17740996458576325,0.6093873565614311,0.21320267885280575,-0.04677701062427103,0.08281620696842934,-0.03603919634415825
66,pure_archetype_corner,0,0.9321068101440664,false,0.8976544050720332,0.17743428480486756,0.6088544756378935,0.21371123955723903,-0.04676971455853973,0.08265634269136807,-0.03588662813282828
67,pure_archetype_corner,0,0.931500474987655,false,0.8973512374938275,0.17667235472721568,0.6113296089649629,0.2119980363078214,-0.046998293581835326,0.08339888268948886,-0.03640058910765359
68,pure_archetype_corner,0,0.9317350280827934,false,0.8974685140413967,0.17699317182982294,0.610576296323661,0.21243053184651597,-0.04690204845105311,0.08317288889709828,-0.03627084044604523
69,pure_archetype_corner,0,0.927069364671361,false,0.8951356823356805,0.17096067648134186,0.6282945045155274,0.20074481900313063,-0.04871179705559747,0.08848835135465821,-0.03977655429906085
70,pure_archetype_corner,0,0.9317209842799832,false,0.8974614921399916,0.17697161007950732,0.6106029772753658,0.21242541264512682,-0.046908516976147785,0.08318089318260974,-0.036272376206461954
71,pure_archetype_corner,0,0.9318300050694794,false,0.8975160025347397,0.17713586716538027,0.6103713876050993,0.21249274522952033,-0.046859239850385925,0.08311141628152979,-0.03625217643114392
72,pure_archetype_corner,0,0.9318622338225149,false,0.8975321169112574,0.17715952404372828,0.6101079500882631,0.21273252586800856,-0.046852142786881545,0.08303238502647892,-0.03618024223959743
73,pure_archetype_corner,0,0.9318143815097231,false,0.8975081907548615,0.17709518878329583,0.6102703768773915,0.2126344343393125,-0.046871443365011256,0.08308111306321747,-0.03620966969820627
74,pure_archetype_corner,0,0.9280832558854804,false,0.8956426279427402,0.17226465226875173,0.6243898319952367,0.20334551573601156,-0.048320604319374516,0.087316949598571,-0.03899634527919654
75,pure_archetype_corner,0,0.9271101049279231,false,0.8951560524639616,0.17100042013827435,0.628038534553882,0.20096104530784367,-0.048699873958517714,0.0884115603661646,-0.039711686407646885
76,pure_archetype_corner,0,0.9316117742829273,false,0.8974068871414637,0.17683322315591607,0.6110397657426615,0.2121270111014224,-0.046950033053225204,0.08331192972279844,-0.03636189666957329
77,pure_archetype_corner,0,0.9284599456022942,false,0.8958309728011471,0.17275905688340504,0.6230169658244635,0.20422397729213146,-0.048172282934978494,0.08690508974733907,-0.038732806812360576
78,pure_archetype_corner,0,0.9249808300718543,false,0.8940914150359272,0.169403783112447,0.6326647743998361,0.19793144248771688,-0.0491788650662659,0.08979943231995086,-0.04062056725368496
79,pure_archetype_corner,0,0.9283678952848056,false,0.8957849476424028,0.17262874422008628,0.6232780879411477,0.20409316783876613,-0.04821137673397413,0.0869834263823443,-0.038772049648370166
80,pure_archetype_corner,0,0.9319143562657854,false,0.8975581781328927,0.17722636406533723,0.6099056891509155,0.21286794678374737,-0.04683209078039885,0.0829717067452746,-0.036139615964875804
81,pure_archetype_corner,0,0.9320564042502728,false,0.8976292021251364,0.17740910487617215,0.6093590403991949,0.21323185472463305,-0.046777268537148364,0.08280771211975846,-0.036030443582610094
82,pure_archetype_corner,0,0.9318530197566179,false,0.897527509878309,0.17712934930684593,0.6099999537824535,0.21287069691070057,-0.04686119520794624,0.08299998613473608,-0.03613879092678984
