trial_id,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore,mlp_output,target_multiplier,multiplier_clamped
13302,0.25,0.55,0.2,0,-1,0,0.8910204983908602,0.9188389967817203,false
13303,0.25,0.55,0.2,0,-1,0.5,0.8727404412959636,0.8822788825919272,false
13304,0.25,0.55,0.2,0,-1,1,0.8127163289353196,0.7622306578706393,false
13305,0.25,0.55,0.2,0,-0.5,-1,0.9423550495337883,1.0215080990675767,false
13306,0.25,0.55,0.2,0,-0.5,-0.5,0.8640644595812202,0.8649269191624405,false
13307,0.25,0.55,0.2,0,-0.5,0,0.9130640684525296,0.9629261369050592,false
13308,0.25,0.55,0.2,0,-0.5,0.5,0.8925643793562531,0.9219267587125062,false
13309,0.25,0.55,0.2,0,-0.5,1,0.767560130286451,0.6719182605729019,false
13310,0.25,0.55,0.2,0,0,-1,0.9843566003936113,1.1055112007872225,false
13311,0.25,0.55,0.2,0,0,-0.5,0.9095681575902048,0.9559343151804096,false
13312,0.25,0.55,0.2,0,0,0,0.9063076772090884,0.9494133544181769,false
13313,0.25,0.55,0.2,0,0,0.5,0.840003293239404,0.816804586478808,false
13314,0.25,0.55,0.2,0,0,1,0.6748907423287789,0.6,true
13315,0.25,0.55,0.2,0,0.5,-1,1.0625610359130586,1.2619200718261172,false
13316,0.25,0.55,0.2,0,0.5,-0.5,0.9264421530282545,0.989682306056509,false
13317,0.25,0.55,0.2,0,0.5,0,0.8242795728133777,0.7853571456267554,false
13318,0.25,0.55,0.2,0,0.5,0.5,0.6719163993855035,0.6,true
13319,0.25,0.55,0.2,0,0.5,1,0.5619162968324503,0.6,true
13320,0.25,0.55,0.2,0,1,-1,1.0669871110187716,1.2707722220375433,false
13321,0.25,0.55,0.2,0,1,-0.5,0.8955999429714041,0.9279978859428082,false
13322,0.25,0.55,0.2,0,1,0,0.6271590351540479,0.6,true
13323,0.25,0.55,0.2,0,1,0.5,0.4841607924082103,0.6,true
13324,0.25,0.55,0.2,0,1,1,0.3834175666326932,0.6,true
13325,0.25,0.55,0.2,0.5,-1,-1,0.9778090287840557,1.0924160575681114,false
13326,0.25,0.55,0.2,0.5,-1,-0.5,0.9283526253749332,0.9935032507498665,false
13327,0.25,0.55,0.2,0.5,-1,0,0.9544484151770583,1.0456948303541165,false
13328,0.25,0.55,0.2,0.5,-1,0.5,0.9248308343416469,0.9864596686832938,false
13329,0.25,0.55,0.2,0.5,-1,1,0.8590663927536953,0.8549307855073907,false
13330,0.25,0.55,0.2,0.5,-0.5,-1,0.9962448799933445,1.129287759986689,false
13331,0.25,0.55,0.2,0.5,-0.5,-0.5,0.9690557136178319,1.0749094272356639,false
13332,0.25,0.55,0.2,0.5,-0.5,0,0.9709434739336641,1.0786849478673282,false
13333,0.25,0.55,0.2,0.5,-0.5,0.5,0.9442397199299305,1.025277439859861,false
13334,0.25,0.55,0.2,0.5,-0.5,1,0.8678202441142656,0.8724384882285312,false
13335,0.25,0.55,0.2,0.5,0,-1,1.0472101696647096,1.2312183393294192,false
13336,0.25,0.55,0.2,0.5,0,-0.5,0.9485943064858078,1.0339866129716155,false
13337,0.25,0.55,0.2,0.5,0,0,0.941201757352514,1.019201514705028,false
13338,0.25,0.55,0.2,0.5,0,0.5,0.9315618590950673,0.9999217181901345,false
13339,0.25,0.55,0.2,0.5,0,1,0.7795322158011339,0.6958624316022677,false
13340,0.25,0.55,0.2,0.5,0.5,-1,1.0420019955047162,1.2208019910094323,false
13341,0.25,0.55,0.2,0.5,0.5,-0.5,0.9654536428551945,1.067705285710389,false
13342,0.25,0.55,0.2,0.5,0.5,0,0.8442935946415075,0.8253851892830151,false
13343,0.25,0.55,0.2,0.5,0.5,0.5,0.7259960066609714,0.6,true
13344,0.25,0.55,0.2,0.5,0.5,1,0.646398381276917,0.6,true
13345,0.25,0.55,0.2,0.5,1,-1,0.985740257349149,1.108278514698298,false
13346,0.25,0.55,0.2,0.5,1,-0.5,0.9056883761999631,0.9481747523999262,false
13347,0.25,0.55,0.2,0.5,1,0,0.6633649425484344,0.6,true
13348,0.25,0.55,0.2,0.5,1,0.5,0.4287388770529966,0.6,true
13349,0.25,0.55,0.2,0.5,1,1,0.3385271091613642,0.6,true
13350,0.25,0.55,0.2,1,-1,-1,1.0421275436794304,1.2210530873588608,false
13351,0.25,0.55,0.2,1,-1,-0.5,1.0028566079002896,1.1425112158005792,false
13352,0.25,0.55,0.2,1,-1,0,0.9630153264041569,1.0628286528083137,false
13353,0.25,0.55,0.2,1,-1,0.5,0.9518834322096268,1.0405648644192536,false
13354,0.25,0.55,0.2,1,-1,1,0.893982338304574,0.9247626766091479,false
13355,0.25,0.55,0.2,1,-0.5,-1,1.066971183073492,1.270740366146984,false
13356,0.25,0.55,0.2,1,-0.5,-0.5,1.0752320178932018,1.2872620357864035,false
13357,0.25,0.55,0.2,1,-0.5,0,1.0368872518158068,1.2105725036316135,false
13358,0.25,0.55,0.2,1,-0.5,0.5,1.0244632571992809,1.1857245143985617,false
13359,0.25,0.55,0.2,1,-0.5,1,0.9481142083637766,1.0330264167275531,false
13360,0.25,0.55,0.2,1,0,-1,1.0749186691761683,1.2866353383523366,false
13361,0.25,0.55,0.2,1,0,-0.5,1.0167540497078287,1.1703060994156573,false
13362,0.25,0.55,0.2,1,0,0,1.0255141435217165,1.187826287043433,false
13363,0.25,0.55,0.2,1,0,0.5,1.003848776261195,1.1444955525223899,false
13364,0.25,0.55,0.2,1,0,1,0.9087335531784313,0.9542651063568626,false
13365,0.25,0.55,0.2,1,0.5,-1,1.0448171834538598,1.2264323669077195,false
13366,0.25,0.55,0.2,1,0.5,-0.5,0.9640797380840882,1.0649574761681764,false
13367,0.25,0.55,0.2,1,0.5,0,0.845090415800113,0.826978831600226,false
13368,0.25,0.55,0.2,1,0.5,0.5,0.7517528237238175,0.6403036474476349,false
13369,0.25,0.55,0.2,1,0.5,1,0.7096629497628756,0.6,true
13370,0.25,0.55,0.2,1,1,-1,1.0130748956951598,1.1629477913903197,false
13371,0.25,0.55,0.2,1,1,-0.5,0.93397825236178,1.00475450472356,false
13372,0.25,0.55,0.2,1,1,0,0.7258149123119543,0.6,true
13373,0.25,0.55,0.2,1,1,0.5,0.46119617199831153,0.6,true
13374,0.25,0.55,0.2,1,1,1,0.4028713394522999,0.6,true
13375,0.25,0.6,0.15,-1,-1,-1,0.8248279437669739,0.7864538875339477,false
13376,0.25,0.6,0.15,-1,-1,-0.5,0.7849315765330376,0.7066611530660751,false
13377,0.25,0.6,0.15,-1,-1,0,0.7697810003568929,0.6763600007137858,false
13378,0.25,0.6,0.15,-1,-1,0.5,0.7634559831905945,0.663709966381189,false
13379,0.25,0.6,0.15,-1,-1,1,0.6383119010408134,0.6,true
13380,0.25,0.6,0.15,-1,-0.5,-1,0.9606707746740804,1.0581395493481607,false
13381,0.25,0.6,0.15,-1,-0.5,-0.5,0.8703937098919916,0.8775854197839832,false
13382,0.25,0.6,0.15,-1,-0.5,0,0.7917327393519223,0.7202634787038447,false
13383,0.25,0.6,0.15,-1,-0.5,0.5,0.6955335514336589,0.6,true
13384,0.25,0.6,0.15,-1,-0.5,1,0.5397595259870487,0.6,true
13385,0.25,0.6,0.15,-1,0,-1,1.0970721195191535,1.330942239038307,false
13386,0.25,0.6,0.15,-1,0,-0.5,1.006795054737065,1.15038810947413,false
13387,0.25,0.6,0.15,-1,0,0,0.8427622037662456,0.8223224075324911,false
13388,0.25,0.6,0.15,-1,0,0.5,0.5794420160084046,0.6,true
13389,0.25,0.6,0.15,-1,0,1,0.41302033934864346,0.6,true
13390,0.25,0.6,0.15,-1,0.5,-1,1.2053022476261595,1.4,true
13391,0.25,0.6,0.15,-1,0.5,-0.5,1.093077233990483,1.322952467980966,false
13392,0.25,0.6,0.15,-1,0.5,0,0.8779101942981417,0.8926183885962833,false
13393,0.25,0.6,0.15,-1,0.5,0.5,0.5754288956193067,0.6,true
13394,0.25,0.6,0.15,-1,0.5,1,0.3245450780215803,0.6,true
13395,0.25,0.6,0.15,-1,1,-1,1.2632499459897975,1.4,true
13396,0.25,0.6,0.15,-1,1,-0.5,1.0615929899034993,1.2599839798069985,false
13397,0.25,0.6,0.15,-1,1,0,0.8720583936672681,0.8809147873345362,false
13398,0.25,0.6,0.15,-1,1,0.5,0.5924357483110253,0.6,true
13399,0.25,0.6,0.15,-1,1,1,0.33479396169989306,0.6,true
13400,0.25,0.6,0.15,-0.5,-1,-1,0.7605127332048017,0.6578234664096034,false
13401,0.25,0.6,0.15,-0.5,-1,-0.5,0.8221006186107446,0.7809992372214891,false
13402,0.25,0.6,0.15,-0.5,-1,0,0.835649681536397,0.8080973630727939,false
13403,0.25,0.6,0.15,-0.5,-1,0.5,0.8173696244415004,0.7715372488830008,false
13404,0.25,0.6,0.15,-0.5,-1,1,0.7440856465838763,0.6249692931677526,false
13405,0.25,0.6,0.15,-0.5,-0.5,-1,0.8875697662963891,0.9119375325927781,false
13406,0.25,0.6,0.15,-0.5,-0.5,-0.5,0.8090169175941471,0.7548318351882941,false
13407,0.25,0.6,0.15,-0.5,-0.5,0,0.8648379299659489,0.8664738599318977,false
13408,0.25,0.6,0.15,-0.5,-0.5,0.5,0.8271089576403966,0.7910159152807932,false
13409,0.25,0.6,0.15,-0.5,-0.5,1,0.6504363427409089,0.6,true
13410,0.25,0.6,0.15,-0.5,0,-1,1.0502265484140985,1.237251096828197,false
13411,0.25,0.6,0.15,-0.5,0,-0.5,0.9330587113016934,1.0029154226033867,false
13412,0.25,0.6,0.15,-0.5,0,0,0.8568445989942787,0.8504871979885573,false
13413,0.25,0.6,0.15,-0.5,0,0.5,0.7228936091053105,0.6,true
13414,0.25,0.6,0.15,-0.5,0,1,0.5518839676871443,0.6,true
13415,0.25,0.6,0.15,-0.5,0.5,-1,1.1370832571373612,1.4,true
13416,0.25,0.6,0.15,-0.5,0.5,-0.5,1.0035030679444443,1.1438041358888886,false
13417,0.25,0.6,0.15,-0.5,0.5,0,0.8474518809879544,0.8317017619759088,false
13418,0.25,0.6,0.15,-0.5,0.5,0.5,0.6163959388164661,0.6,true
13419,0.25,0.6,0.15,-0.5,0.5,1,0.4427927293274683,0.6,true
13420,0.25,0.6,0.15,-0.5,1,-1,1.1976619775819284,1.4,true
13421,0.25,0.6,0.15,-0.5,1,-0.5,0.973601040350464,1.084000080700928,false
13422,0.25,0.6,0.15,-0.5,1,0,0.7550650771772696,0.6469281543545391,false
13423,0.25,0.6,0.15,-0.5,1,0.5,0.5171318089099735,0.6,true
13424,0.25,0.6,0.15,-0.5,1,1,0.36689475591603965,0.6,true
13425,0.25,0.6,0.15,0,-1,-1,0.8271432757043116,0.7910845514086231,false
13426,0.25,0.6,0.15,0,-1,-0.5,0.8659504971702113,0.8686989943404226,false
13427,0.25,0.6,0.15,0,-1,0,0.8857050184645697,0.9082080369291394,false
13428,0.25,0.6,0.15,0,-1,0.5,0.8674249613696732,0.8716479227393463,false
